N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.077.213/2009;26/8/2009 00:00;GUARDIA VIEJA;3738;GUARDIA VIEJA 3738;013-008-006;4323.67;3/4/2014 00:00;;;DEMOLICION TOTAL Y OBRA;ALMAGRO;COMUNA 5;1192;C1192AAJ;-34.60129155682217;-58.416899620437476
1.082.369/2009;27/8/2009 00:00;INDEPENDENCIA AV.;2282;INDEPENDENCIA AV. 2282;022-037-010;21.54;3/1/2011 00:00;;;DEMOLICION TOTAL Y OBRA;SAN CRISTOBAL;COMUNA 3;1225;C1225AAR;-34.61860034777898;-58.398610773163014
1.082.369/2009;27/8/2009 00:00;INDEPENDENCIA AV.;2282;INDEPENDENCIA AV. 2282;022-037-010;21.54;23/11/2011 00:00;;;DEMOLICION TOTAL Y OBRA;SAN CRISTOBAL;COMUNA 3;1225;C1225AAR;-34.61860034777898;-58.398610773163014
1.082.369/2009;27/8/2009 00:00;INDEPENDENCIA AV.;2282;INDEPENDENCIA AV. 2282;022-037-010;21.54;4/11/2014 00:00;;;DEMOLICION TOTAL Y OBRA;SAN CRISTOBAL;COMUNA 3;1225;C1225AAR;-34.61860034777898;-58.398610773163014
1.086.149/2009;28/8/2009 00:00;HUMBOLDT;1513;HUMBOLDT 1513;035-001B-016;821,93;13/3/2012 00:00;;;OBRA NUEVA;PALERMO;COMUNA 14;1414;C1414CTM;-34.58625616290009;-58.43690420628754
1.086.343/2009;28/8/2009 00:00;MILLER;3391;MILLER 3391;053-058-009;180,09;30/7/2012 00:00;;;OBRA NUEVA;VILLA URQUIZA;COMUNA 12;1431;C1431GEO;-34.56326915117521;-58.48792833457418
1.087.982/2009;28/8/2009 00:00;ACHA, MARIANO, GRAL.;1257;ACHA, MARIANO, GRAL. 1257;049-042-011;746.14;12/7/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA ORTUZAR;COMUNA 15;1427;C1427DBG;-34.580827426614654;-58.47207134592924
1.092.149/2009;31/8/2009 00:00;ANCHORENA, TOMAS MANUEL DE, DR.;938/40;ANCHORENA, TOMAS MANUEL DE, DR. 938/40;015-113-033;2.231.63;29/8/2012 00:00;;;OBRA NUEVA;RECOLETA;COMUNA 2;1170;C1170ACR;-34.59747105039942;-58.40789573434557
1.092.695/2009;31/8/2009 00:00;SANCHEZ DE BUSTAMANTE;1450;SANCHEZ DE BUSTAMANTE 1450;015-044-016B;247.63;1/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;RECOLETA;COMUNA 2;1425;C1425DUD;-34.59365677487377;-58.41202077380173
1.097.330/2009;1/9/2009 00:00;DRAGONES;1880;DRAGONES 1880;025-102-026;589.35;18/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428AZB;-34.55490129149105;-58.439235967567186
1.097.157/2009;1/9/2009 00:00;CONSTITUCION;2215;CONSTITUCION 2215;022-032-034;1389.74;18/4/2011 00:00;;;OBRA NUEVA;SAN CRISTOBAL;COMUNA 3;1254;C1254AAI;-34.625577381927286;-58.39607324757304
1.098.347/2009;1/9/2009 00:00;MONTIEL;2549;MONTIEL 2549;076-038-040;475.80;9/1/2015 00:00;;;OBRA NUEVA;MATADEROS;COMUNA 9;1440;C1440EVU;-34.665345402451855;-58.50801067395271
1.101.827/2009;2/9/2009 00:00;ZELADA;5853;ZELADA 5853;060-018-019;435.79;25/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;MATADEROS;COMUNA 9;1440;C1440BWO;-34.647503397612816;-58.504211449455795
1.102.927/2009;2/9/2009 00:00;CERVIÑO AV.;4678;CERVIÑO AV. 4678;021-055A-009;3.580.41;2/9/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425AHQ;-34.57521826411502;-58.42330251157228
1.108.022/2009;3/9/2009 00:00;CONESA;4188;CONESA 4188;043-117-001A;158.13;20/4/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;SAAVEDRA;COMUNA 12;1429;C1429ALZ;-34.54730374243508;-58.47646908088823
1.111.851/2009;4/9/2009 00:00;CONCORDIA;1222;CONCORDIA 1222;079-103-032;82.82;14/7/2014 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA SANTA RITA;COMUNA 11;1407;C1407DIZ;-34.62048828623843;-58.4828408057261
1.113.240/2009;4/9/2009 00:00;SANTA FE AV.;2646;SANTA FE AV. 2646;015-128-008;AVISO DE OBRA;4/4/2011 00:00;;;AVISO DE OBRA;RECOLETA;COMUNA 2;1425;C1425BGO;-34.59378687598254;-58.40441600197956
1.114.019/2009;4/9/2009 00:00;BORGES, JORGE LUIS;2260;BORGES, JORGE LUIS 2260;019-141-028A;4.576.37;11/1/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425FFF;-34.58407281048304;-58.42358716315289
1.114.734/2009;4/9/2009 00:00;CORDOBA AV.;12/10/6008;CORDOBA AV. 1500703;033-060-002;1.331.83;14/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;CHACARITA;COMUNA 15;1427;C1427BZN;-34.58448644420909;-58.44507915347071
1.114.765/2009;4/9/2009 00:00;CUBA;3895;CUBA 3895;029-029-008;499.23;19/9/2011 00:00;;;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429AXU;-34.545715396928976;-58.46768517013152
1.126.124/2009;8/9/2009 00:00;LARRALDE, CRISOLOGO AV.;3202;LARRALDE, CRISOLOGO AV. 3202;041-082-001A;238.58;21/3/2011 00:00;COMERCIO;R2B I;OBRA NUEVA;SAAVEDRA;COMUNA 12;1429;C1429BTZ;-34.552897906151074;-58.47519165854397
1.126.149/2009;8/9/2009 00:00;GAVILAN;1020;GAVILAN 1020;065-108-024B;1735.00;24/8/2011 00:00;COMERCIO;R2A II;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406BBR;-34.617807179003435;-58.46499721361894
1.129.001/2009;9/9/2009 00:00;ALBARELLOS AV.;2645;ALBARELLOS AV. 2645;075-065-038;975.72;3/6/2013 00:00;MULTIVIVIENDA;R2B II;DEMOLICION TOTAL Y OBRA;VILLA PUEYRREDON;COMUNA 12;1419;C1419FSD;-34.57585896980368;-58.50709092153584
1.129.698/2009;9/9/2009 00:00;ACHA, MARIANO, GRAL.;2561;ACHA, MARIANO, GRAL. 2561;053-072-013;160.02;25/8/2011 00:00;UNIVIVIENDA;R2B I;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA URQUIZA;COMUNA 12;1430;C1430DUY;-34.56949341631614;-58.47948302650699
1.130.416/2009;9/9/2009 00:00;CONESA;4170;CONESA 4170;043-117-001B;366.49;6/1/2011 00:00;MULTIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1429;C1429ALZ;-34.54740733104079;-58.47641830537466
